SpotifyTrack,SpotifyArtist,uri,year,genre,release_date,popular,key,explicit,mode,chartrank,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,time_signature
The Good Stuff,Kenny Chesney,spotify:track:1sR3kJi14jA8Gau3a0yXAo,2002,Country,4/2/2002,1,7,0,1,1,0.255,0.612,0.62,200440,0,0.502,143.78,0.129,-9.785,0.0645,4
Drive (For Daddy Gene),Alan Jackson,spotify:track:1FV374EPG5CrjdIbIMLkcv,2002,Country,1/15/2002,1,11,0,1,2,0.338,0.713,0.579,242733,0,0.511,125.179,0.174,-8.066,0.0413,4
Living And Living Well,George Strait,spotify:track:3YxKqZFpcxBPvpUssL8FS2,2002,Country,1/1/2001,1,1,0,1,3,0.347,0.602,0.683,218307,0.00338,0.522,120.787,0.11,-6.82,0.0304,4
Good Morning Beautiful,Steve Holy,spotify:track:0eHT8N5YQglv8cYYizXvSw,2002,Country,10/3/2000,1,7,0,1,4,0.452,0.565,0.5,210933,0,0.242,70.984,0.137,-8.822,0.031,4
I Miss My Friend,Darryl Worley,spotify:track:0qnoS5hMZMphvKWi0D2LQh,2002,Country,1/1/2002,1,4,0,1,5,0.155,0.554,0.474,242927,0.0000167,0.41,139.832,0.0859,-7.843,0.025,4
My List,Toby Keith,spotify:track:3vzmDjQ7E6gzAVg4ecp6XU,2002,Country,1/1/2008,1,1,0,0,6,0.332,0.629,0.737,199813,0,0.341,87.068,0.147,-4.309,0.0323,4
I Don't Have To Be Me ('Til Monday) - Single Version,Steve Azar,spotify:track:5v1bA7NmQcQHvH9IDkeeF4,2002,Country,1/1/2002,1,8,0,1,7,0.201,0.497,0.717,196952,0,0.771,168.999,0.0458,-4.224,0.0303,4
Beautiful Mess,Diamond Rio,spotify:track:7LvK43IERbcLsuabmyKQgi,2002,Country,1991,1,1,0,1,8,0.317,0.402,0.817,227920,0,0.376,177.342,0.105,-3.756,0.0406,4
Blessed,Martina McBride,spotify:track:0nGzwlShUTBEQePuzMoUjN,2002,Country,9/17/2001,1,7,0,1,9,0.183,0.587,0.629,276600,0,0.425,114.993,0.0686,-7.439,0.0424,4
The Impossible,Joe Nichols,spotify:track:5vyVckEUyIogu3Fq7J3lBR,2002,Country,1/1/2002,1,9,0,1,10,0.354,0.617,0.504,245573,0.0000031,0.197,77.988,0.0875,-6.702,0.0295,4
Ten Rounds with Jose Cuervo - Recall Mix,Tracy Byrd,spotify:track:26J61MmE6YCWqIyROZdEgL,2002,Country,7/23/2001,1,2,0,1,11,0.00504,0.681,0.864,182453,0,0.931,127.079,0.212,-7.839,0.0347,4
What If She's An Angel,Tommy Shane Steiner,spotify:track:4avs56frsTcnjwy2KlCQ5D,2002,Country,4/9/2002,1,8,0,1,12,0.308,0.535,0.528,215533,0.00000111,0.41,146.169,0.0912,-7.453,0.0258,4
The One,Gary Allan,spotify:track:3bshjjlr63HkgFFxdA8mvg,2002,Country,1/1/2001,1,8,0,1,13,0.54,0.594,0.601,259760,0.004,0.66,136.11,0.0526,-9.036,0.0312,4
Somebody Like You,Keith Urban,spotify:track:0b9djfiuDIMw1zKH6gV74g,2002,Country,1/1/2002,1,4,0,1,14,0.108,0.624,0.84,323040,0.000546,0.656,111.02,0.144,-5.768,0.0337,4
Bring On The Rain,Jo Dee Messina /and/ Tim McGraw,spotify:track:1OnXz5v4hVdrNLJ9N4MqzL,2002,Country,8/1/2000,1,5,0,1,16,0.689,0.468,0.404,240173,0,0.148,138.115,0.177,-7.25,0.0286,4
The Long Goodbye,Brooks & Dunn,spotify:track:550bzTUwGQIhotK33gVvEg,2002,Country,9/8/2009,1,8,0,1,17,0.263,0.5,0.619,229987,0.0000142,0.569,145.367,0.107,-5.939,0.0297,4
Not A Day Goes By,Lonestar,spotify:track:5hPZdsAI8Jo0mhq5J829Tb,2002,Country,3/27/2001,1,6,0,1,18,0.492,0.53,0.305,248040,0,0.221,127.318,0.137,-8.568,0.028,4
Young,Kenny Chesney,spotify:track:3tHPjLBakLS48aumhFpJMt,2002,Country,4/2/2002,1,9,0,1,19,0.0278,0.684,0.84,235733,0,0.682,125.801,0.329,-5.753,0.0433,4
I Keep Looking,Sara Evans,spotify:track:6IqofHRLYynJ6lCypGrVpF,2002,Country,8/17/2007,1,10,0,1,20,0.0577,0.737,0.817,276173,0,0.751,112.866,0.118,-4.246,0.0508,4
The Cowboy In Me,Tim McGraw,spotify:track:7gHoT3JZocCWKWkMWvAGix,2002,Country,11/30/2010,1,2,0,1,21,0.076,0.488,0.569,244507,0.00000106,0.153,71.92,0.0796,-7.323,0.0294,4
I Should Be Sleeping,Emerson Drive,spotify:track:28CnmZkM5CFp0ObTRQJeCw,2002,Country,1/1/2002,1,5,0,0,22,0.243,0.464,0.895,177000,0,0.674,164.404,0.0687,-4.16,0.145,4
"I Breathe In, I Breathe Out",Chris Cagle,spotify:track:3r513lY50AOJBqaG4nP2LT,2002,Country,1/1/2010,1,7,0,1,23,0.178,0.316,0.514,243947,0,0.242,185.882,0.194,-7.048,0.0271,4
Where Were You (When the World Stopped Turning),Alan Jackson,spotify:track:3eSwvMfSA0Fyku6Ak5JEw0,2002,Country,11/19/2010,1,0,0,1,24,0.549,0.623,0.387,305093,0,0.189,115.362,0.0764,-9.537,0.0316,4
I'm Gonna Miss Her,Brad Paisley,spotify:track:4ipZsAA3YuqCDSXiPoEGIv,2002,Country,5/29/2001,1,6,0,1,25,0.55,0.559,0.464,194307,0,0.351,98.354,0.107,-9.687,0.0272,4
That's When I Love You,Phil Vassar,spotify:track:1lhPhB8fdto7hvqCWljRm1,2002,Country,2/21/2000,1,10,0,1,26,0.236,0.552,0.831,208880,0,0.604,111.061,0.0907,-4.819,0.0402,4
Where Would You Be,Martina McBride,spotify:track:66URCmir4NPApvXokhTZYO,2002,Country,10/23/2012,1,8,0,1,27,0.0607,0.523,0.668,272720,0.00000323,0.278,128.092,0.0353,-6.646,0.0332,4
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,spotify:track:0M7mWKqwTIaVjYyxfZmtTa,2002,Country,1/1/2002,1,2,0,1,28,0.521,0.424,0.661,195533,0.00000162,0.384,111.762,0.0719,-5.547,0.0425,4
Wrapped Around,Brad Paisley,spotify:track:20dc1jFEG3azMMyvpHj8La,2002,Country,5/29/2001,1,9,0,1,29,0.093,0.616,0.758,202933,0,0.447,141.495,0.132,-8.43,0.0434,3
Run,George Strait,spotify:track:1EXMjx4nCIvYTaY5CZMUSl,2002,Country,1/1/2001,1,2,0,1,30,0.462,0.544,0.57,245427,0.00183,0.295,75.59,0.213,-10.192,0.0326,4
Work In Progress,Alan Jackson,spotify:track:1CSdY0W7Ezx2loItcUFskp,2002,Country,1/15/2002,1,11,0,0,31,0.191,0.748,0.673,247600,0.00000586,0.661,135.257,0.212,-8.45,0.0486,4
American Child,Phil Vassar,spotify:track:3BcGTyGnofcaQlxEaHyuPD,2002,Country,2000,1,2,0,1,32,0.252,0.397,0.685,189373,0,0.443,168.121,0.157,-5.815,0.0277,3
Tonight I Wanna Be Your Man,Andy Griggs,spotify:track:3RwlpiM8WPPQsNrdQsQb7Y,2002,Country,6/4/2002,1,3,0,1,33,0.392,0.404,0.364,178360,0,0.21,139.493,0.123,-11.249,0.0331,4
When You Lie Next To Me,Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,2002,Country,5/6/2002,1,5,0,1,34,0.184,0.312,0.404,239827,0,0.115,138.425,0.306,-10.014,0.0293,4
Unbroken,Tim McGraw,spotify:track:7xb8Yyd627JoPLVXyZDxBK,2002,Country,2/4/2014,1,1,0,0,36,0.0865,0.595,0.792,241427,0,0.536,119.8,0.0769,-6.979,0.0286,4
My Town,Montgomery Gentry,spotify:track:5M8oqeozsjPMSXbkjo0SyD,2002,Country,1999,1,2,0,1,37,0.00258,0.511,0.846,285587,0,0.528,93.848,0.0777,-6.677,0.0531,4
Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,spotify:track:1tTZM7LUDkxcykOVVIGW4W,2002,Country,2002,1,2,0,1,38,0.0351,0.597,0.773,228200,0.0000385,0.354,100.009,0.248,-4.053,0.0288,4
I Don't Want You To Go - Country Version,Carolyn Dawn Johnson,spotify:track:5nm8hcsVzkpybnK75h7FDY,2002,Country,6/8/2001,1,9,0,1,39,0.0464,0.458,0.795,279533,0.000212,0.512,168.316,0.0315,-4.714,0.0559,4
I Wanna Talk About Me,Toby Keith,spotify:track:3VHevS1BocAcrihLnl11DG,2002,Country,8/10/2001,1,5,0,1,40,0.168,0.765,0.87,183960,0,0.684,106.06,0.125,-5.191,0.0499,4
These Days,Rascal Flatts,spotify:track:5nWgEBtaRwVrCMjer1RtLm,2002,Country,1/1/2002,1,7,0,1,41,0.31,0.587,0.778,254493,0,0.319,81.943,0.318,-4.233,0.0343,4
My Heart Is Lost To You,Brooks & Dunn,spotify:track:2YWVrRgUlnOGW2MKEU4PLv,2002,Country,10/19/2004,1,2,0,1,44,0.188,0.524,0.849,178707,0,0.453,125.864,0.179,-4.634,0.0464,4
Modern Day Bonnie and Clyde,Travis Tritt,spotify:track:58rdbCe3SBJuJeWEJa8Htm,2002,Country,10/1/2000,1,9,0,0,45,0.101,0.647,0.874,284173,0.0000179,0.918,89.727,0.277,-5.075,0.0337,4
She Was,Mark Chesnutt,spotify:track:3EhEA0wiWPhqfjbaSHIxan,2002,Country,5/7/2002,1,3,0,1,46,0.0118,0.398,0.54,201173,0,0.447,177.168,0.0684,-9.31,0.0276,4
Forgive,Rebecca Lynn Howard,spotify:track:6ry1WIweLN1nlQTNIYZ0JB,2002,Country,1/1/2002,1,7,0,1,47,0.0441,0.612,0.461,238573,0,0.232,134.281,0.103,-5.698,0.0317,4
Ol' Red,Blake Shelton,spotify:track:5wane5dFpp8xgriui6y0c7,2002,Country,7/31/2001,1,10,0,1,49,0.146,0.664,0.556,221267,0.00000391,0.494,75.049,0.113,-7.713,0.0365,4
In Another World,Joe Diffie,spotify:track:0VdpGEpUlEYu9MpX5fsSgt,2002,Country,10/30/2001,1,7,0,0,51,0.057,0.47,0.63,226533,0,0.357,78,0.257,-7.194,0.0266,4
Just What I Do,Trick Pony,spotify:track:6V74QVbPlMcCPwgCsgEOHo,2002,Country,2001,1,5,0,1,52,0.012,0.669,0.788,202107,0,0.961,122.087,0.0931,-5.653,0.0353,4
Before I Knew Better,Brad Martin,spotify:track:3I5ZhAjcSTB9jPSRiOl4V8,2002,Country,6/6/2002,1,5,0,1,53,0.0344,0.447,0.683,215533,0,0.606,161.828,0.13,-5.864,0.0277,4
Who's Your Daddy?,Toby Keith,spotify:track:0x7Yp9FYMcTH9u1hxxnh4e,2002,Country,1/1/2008,1,9,0,1,54,0.283,0.684,0.872,238013,0.0289,0.849,126.381,0.049,-4.307,0.0402,4
She'll Leave You With A Smile - 2001 Version,George Strait,spotify:track:0sKXWw2C1m3RMl4AX6JLlF,2002,Country,1/1/2001,1,4,0,1,55,0.59,0.635,0.6,178773,0.000198,0.516,97.983,0.254,-7.233,0.0229,4
Help Me Understand,Trace Adkins,spotify:track:1eqw9X3NsJeBcr7eExLIAA,2002,Country,1/1/2001,1,7,0,1,56,0.658,0.502,0.435,231507,0.0000787,0.291,129.933,0.0877,-9.161,0.0279,4
Riding With Private Malone,David Ball,spotify:track:4yym5ZJXwvg03d4kyhLVZO,2002,Country,9/10/2001,1,4,0,1,57,0.405,0.648,0.527,275053,0,0.515,93.93,0.0978,-8.862,0.0515,4
Just Let Me Be In Love,Tracy Byrd,spotify:track:71EVFQO2umcIfdxE8DquYy,2002,Country,7/23/2001,1,0,0,0,58,0.117,0.581,0.8,226213,0.0000332,0.415,96.1,0.045,-7.397,0.0344,4
I Cry,Tammy Cochran,spotify:track:3SbxuYV3cyQrRQ5RYmJDUq,2002,Country,5/1/2001,1,8,0,1,59,0.054,0.484,0.587,213627,0.0000241,0.371,175.706,0.0713,-8.375,0.0318,4
That's Just Jessie,Kevin Denney,spotify:track:0hHLFYQOVwKhpnO7oSXcFz,2002,Country,4/23/2002,1,5,0,1,60,0.141,0.492,0.685,232267,0,0.376,172.115,0.389,-6.046,0.035,4
My Front Porch Looking In,Lonestar,spotify:track:2CVJECHIdpe8otFH0XFI4F,2003,Country,1995,1,5,0,1,1,0.0317,0.529,0.811,223573,0,0.454,102.703,0.311,-5.62,0.0511,4
Beer For My Horses,Toby Keith /and/ Willie Nelson,spotify:track:7E2DqvnVtbIrFrL5X6YH9Q,2003,Country,1/1/2002,1,10,0,1,2,0.368,0.717,0.85,204000,0,0.805,119.005,0.0495,-5.329,0.0473,4
19 Somethin' - Greatest Hits Version,Mark Wills,spotify:track:0ElpjZyX8YBiXuYcDC1Ci9,2003,Country,1/1/2002,1,4,0,1,3,0.132,0.58,0.816,200467,0,0.814,89.938,0.0776,-5.165,0.0726,4
It's Five O'Clock Somewhere,Alan Jackson /and/ Jimmy Buffett,spotify:track:07KYRDFf8Q6sqj4PWCP9vh,2003,Country,1991,1,2,0,1,4,0.22,0.713,0.768,230267,0,0.878,125.203,0.177,-6.702,0.0363,4
Red Dirt Road,Brooks & Dunn,spotify:track:3EZzghqykkfOB0Z8d0kTSt,2003,Country,7/15/2003,1,5,0,1,5,0.0664,0.555,0.868,260360,0.000117,0.479,136.12,0.116,-3.798,0.0403,4
What Was I Thinkin',Dierks Bentley,spotify:track:0r8iDf65NHgFgZOGLwj5r8,2003,Country,1/1/2003,1,5,0,0,6,0.152,0.551,0.825,260827,0.0000062,0.933,164.857,0.0999,-6.24,0.044,4
I Believe,Diamond Rio,spotify:track:6lZyMZGbnDusKNgBn3P252,2003,Country,7/8/2002,1,10,0,1,7,0.706,0.41,0.234,236560,0,0.153,122.022,0.107,-10.767,0.0322,4
Brokenheartsville,Joe Nichols,spotify:track:0WB48shl2wAH4KqyQkQ8nJ,2003,Country,1/1/2002,1,10,0,1,8,0.126,0.686,0.631,230360,0.000183,0.509,103.953,0.107,-5.182,0.0232,4
Real Good Man,Tim McGraw,spotify:track:4ns2xaym21aBOOUN1vaBPJ,2003,Country,6/16/2015,1,2,0,1,9,0.00986,0.56,0.827,254600,0.0000113,0.639,89.93,0.328,-5.393,0.0266,4
Celebrity,Brad Paisley,spotify:track:5xr4NKzmwqr0cvRMZr7cFz,2003,Country,11/2/2010,1,0,0,1,10,0.379,0.643,0.837,223400,0.00000876,0.787,123.777,0.18,-4.535,0.0316,4
"No Shoes, No Shirt, No Problems",Kenny Chesney,spotify:track:208bYsadJ56km31IENM2qS,2003,Country,4/2/2002,1,7,0,1,11,0.243,0.719,0.546,209667,0.00844,0.669,117.925,0.181,-10.239,0.032,4
Have You Forgotten?,Darryl Worley,spotify:track:5JWuz7zukN8z9JLNm29U5K,2003,Country,1/1/2003,1,7,0,1,12,0.0515,0.478,0.625,242293,0,0.343,160.196,0.116,-5.975,0.0341,4
Raining On Sunday,Keith Urban,spotify:track:0capI6Wr0SYGiZ4fxvz5Gq,2003,Country,1/1/2007,1,4,0,1,13,0.108,0.568,0.723,234213,0,0.449,134.001,0.183,-5.439,0.0302,4
Forever And For Always,Shania Twain,spotify:track:5eQtR62IZ8P8qZM2pSD9Ip,2003,Country,1/1/2002,1,6,0,1,14,0.232,0.469,0.722,283000,0,0.529,85.984,0.123,-4.806,0.0326,4
Man To Man - Album Version/Remix,Gary Allan,spotify:track:38fsEI7slIZAAFc4E1JEo0,2003,Country,1/1/2007,1,10,0,1,15,0.00479,0.578,0.779,220960,0.00000647,0.695,111.653,0.284,-8.908,0.0384,4
Big Star,Kenny Chesney,spotify:track:6BJOQ94yeGXYwuR6X9QO1N,2003,Country,4/2/2002,1,0,0,1,16,0.0056,0.655,0.807,239560,0.0000242,0.73,120.781,0.159,-7.674,0.0309,4
Three Wooden Crosses,Randy Travis,spotify:track:1S4fpfX2u0hzFD9vb6FEB6,2003,Country,4/21/2015,1,1,0,1,17,0.459,0.523,0.501,201267,0,0.391,158.179,0.0818,-9.276,0.0366,4
I Just Wanna Be Mad,Terri Clark,spotify:track:3BcCqaxGznRqmB1BIerea2,2003,Country,1/1/2003,1,10,0,1,18,0.0654,0.574,0.896,206400,0,0.731,99.974,0.31,-4.478,0.0393,4
The Baby,Blake Shelton,spotify:track:3ABB9ZDbKhAH5iBYp4bE4x,2003,Country,2003,1,4,0,1,19,0.312,0.502,0.533,234733,0,0.281,86.406,0.277,-6.983,0.0263,4
Who Wouldn't Wanna Be Me,Keith Urban,spotify:track:7MtZJEuIZ6GEKGSN7ttTkX,2003,Country,1/1/2007,1,2,0,1,20,0.115,0.666,0.817,221120,0.0000118,0.826,120.02,0.0668,-6.072,0.0453,4
Stay Gone,Jimmy Wayne,spotify:track:2HEMdZPNfOLF9W3LeE7dkC,2003,Country,6/24/2003,1,9,0,1,21,0.0976,0.52,0.515,226600,0,0.193,142.086,0.271,-5.497,0.0276,3
She's My Kind Of Rain,Tim McGraw,spotify:track:2gFBNU0hoprOypWeEU5D1p,2003,Country,2/4/2014,1,0,0,1,23,0.13,0.472,0.588,255973,0,0.314,75.999,0.151,-8.374,0.0254,4
Speed,Montgomery Gentry,spotify:track:5sPjFaqbhprKmMGD8haEkh,2003,Country,1999,1,8,0,1,24,0.0171,0.591,0.699,239893,0.00000161,0.325,87.971,0.168,-8.169,0.0286,4
Help Pour Out the Rain (Lacey's Song),Buddy Jewell,spotify:track:4xWIqUIlfrusaaygS9RQsR,2003,Country,7/1/2003,1,0,0,1,25,0.263,0.565,0.562,229093,0,0.652,75.035,0.0994,-7.43,0.0339,4
What A Beautiful Day - Final Version,Chris Cagle,spotify:track:2I4wcoJP7bT7PceIag67rn,2003,Country,1/1/2003,1,6,0,1,26,0.216,0.576,0.814,224787,0.00000135,0.766,98.024,0.0969,-5.818,0.0363,4
Love You Out Loud,Rascal Flatts,spotify:track:2WsWOqZk5YKJD1WTGKihRp,2003,Country,1/1/2002,1,8,0,1,27,0.151,0.621,0.874,185493,0,0.712,97.079,0.287,-2.823,0.0338,4
This One's for the Girls,Martina McBride,spotify:track:01CnYyPXMFRzOFVQBU8WMb,2003,Country,9/30/2003,1,8,0,1,28,0.0626,0.613,0.801,243160,0.0000115,0.609,126.966,0.124,-4.431,0.0354,4
The Love Song,Jeff Bates,spotify:track:3Bs3HwoCuS0UxMlSWodb9A,2003,Country,5/20/2003,1,8,0,1,29,0.317,0.519,0.458,245200,0,0.362,130.02,0.106,-6.433,0.0296,4
Tough Little Boys,Gary Allan,spotify:track:6TZEPo10yErUtF5AtdfLY2,2003,Country,1/1/2003,1,2,0,1,30,0.698,0.548,0.402,237333,0.000114,0.214,84.211,0.135,-8.727,0.0247,4
She'll Leave You With A Smile - 2001 Version,George Strait,spotify:track:0sKXWw2C1m3RMl4AX6JLlF,2003,Country,1/1/2001,1,4,0,1,31,0.59,0.635,0.6,178773,0.000198,0.516,97.983,0.254,-7.233,0.0229,4
I Melt,Rascal Flatts,spotify:track:02UnamzTn2rySwzcMkq5qx,2003,Country,1/1/2002,1,9,0,1,32,0.209,0.573,0.662,234253,0.0000392,0.256,140.046,0.323,-4.461,0.0265,4
Concrete Angel,Martina McBride,spotify:track:2LLcI3oU4CedCQDV5tJ1SK,2003,Country,9/17/2001,1,1,0,1,33,0.498,0.622,0.392,253000,0,0.274,77.991,0.146,-9.737,0.0253,4
Somebody Like You,Keith Urban,spotify:track:0b9djfiuDIMw1zKH6gV74g,2003,Country,1/1/2002,1,4,0,1,34,0.108,0.624,0.84,323040,0.000546,0.656,111.02,0.144,-5.768,0.0337,4
A Few Questions,Clay Walker,spotify:track:5aiToW71TQJlX0xQKNCnmw,2003,Country,9/9/2003,1,7,0,1,35,0.413,0.532,0.498,227667,0,0.148,140.073,0.107,-6.84,0.0307,4
Fall Into Me,Emerson Drive,spotify:track:2bVFvGBU2ihWJgMRPcav5r,2003,Country,1/1/2002,1,2,0,1,36,0.238,0.501,0.813,168867,0,0.595,96.986,0.39,-5.01,0.0342,4
Then They Do - With String Intro,Trace Adkins,spotify:track:09sPp29XZUJ0FttO94aEQA,2003,Country,1/1/2003,1,10,0,1,37,0.257,0.525,0.405,271240,0.000971,0.326,75.127,0.0719,-8.95,0.0279,4
You Can't Hide Beautiful,Aaron Lines,spotify:track:0RZcHTeLsymGyBd3hDarCm,2003,Country,1/7/2003,1,5,0,1,38,0.186,0.448,0.572,230800,0,0.303,157.979,0.151,-9.351,0.0292,4
Wave on Wave,Pat Green,spotify:track:7rS87NoPWbAkVURdVFbGH9,2003,Country,1/1/2003,1,2,0,1,39,0.178,0.671,0.755,244373,0.0000264,0.362,103.552,0.0675,-5.274,0.0252,4
Who's Your Daddy?,Toby Keith,spotify:track:0x7Yp9FYMcTH9u1hxxnh4e,2003,Country,1/1/2008,1,9,0,1,41,0.283,0.684,0.872,238013,0.0289,0.849,126.381,0.049,-4.307,0.0402,4
Almost Home,Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,2003,Country,3/11/2003,1,8,0,1,42,0.302,0.525,0.481,289000,0,0.237,75.974,0.121,-6.715,0.0251,4
These Days,Rascal Flatts,spotify:track:5nWgEBtaRwVrCMjer1RtLm,2003,Country,1/1/2002,1,7,0,1,43,0.31,0.587,0.778,254493,0,0.319,81.943,0.318,-4.233,0.0343,4
I Love This Bar,Toby Keith,spotify:track:32jHB7W9b08OTorAqR0cJo,2003,Country,11/4/2003,1,2,0,1,44,0.024,0.608,0.825,335333,0.00656,0.454,115.049,0.346,-6.303,0.0419,4
Walk A Little Straighter,Billy Currington,spotify:track:2LUYGE3JUk4LIIobqI0jpr,2003,Country,1/1/2003,1,8,0,1,45,0.391,0.555,0.381,223733,0,0.174,131.836,0.105,-8.448,0.0263,4
The Truth About Men,Tracy Byrd,spotify:track:12KkJDLatz644y0hYJtZJX,2003,Country,1/1/2003,1,5,0,1,46,0.0657,0.648,0.777,178867,0,0.895,145.889,0.344,-5.46,0.0323,4
I Wish You'd Stay,Brad Paisley,spotify:track:1Jhm8RRMQSTYX9ZaOMeUk8,2003,Country,5/29/2001,1,7,0,1,47,0.286,0.472,0.29,377867,0.0000722,0.0906,93.694,0.287,-10.238,0.0257,4
Tell Me Something Bad About Tulsa,George Strait,spotify:track:24G9unJcgg98i678VyoXXI,2003,Country,1/1/2003,1,2,0,1,49,0.579,0.6,0.423,196973,0.00213,0.278,129.581,0.121,-8.193,0.0264,4
Chicks Dig It - Single Edit,Chris Cagle,spotify:track:0nprj2O0teCglthuhzTG5o,2003,Country,1/1/2003,1,7,0,1,50,0.0221,0.596,0.921,210560,0,0.703,104.024,0.303,-4.987,0.0504,4
I Can't Be Your Friend,Rushlow,spotify:track:7uR53hYTjcVDUoLeDH6j6G,2003,Country,1/1/2003,1,2,0,1,51,0.0596,0.575,0.661,200800,0,0.449,137.255,0.117,-4.165,0.0313,4
Backseat of a Greyhound Bus,Sara Evans,spotify:track:3CC7AzcFQqtvSYGDiEuFCN,2003,Country,8/17/2003,1,9,0,1,52,0.0128,0.391,0.79,333467,0.000704,0.418,161.836,0.0925,-4.907,0.0484,4
Cowboys Like Us,George Strait,spotify:track:1J02p0AlYptTfos2M3hLW6,2003,Country,1/1/2003,1,0,0,1,53,0.213,0.477,0.553,219160,0.00000131,0.299,128.416,0.201,-6.094,0.0302,3
What The World Needs,Wynonna,spotify:track:38Q6YF0TO7E4Dq6K0zdVUk,2003,Country,4/29/2016,1,0,0,0,55,0.194,0.539,0.74,217160,0,0.675,170.054,0.076,-5.566,0.049,4
Chrome,Trace Adkins,spotify:track:26ycbqowYZ01xEqdtfr0EW,2003,Country,1/1/2010,1,9,0,1,56,0.112,0.474,0.924,201693,0.00000693,0.774,179.746,0.229,-3.923,0.062,4
Hell Yeah,Montgomery Gentry,spotify:track:6QUs5z2uEbSGZJpPGMfgQA,2003,Country,8/19/2002,1,0,0,1,57,0.0185,0.372,0.872,289560,0,0.65,173.525,0.368,-6.651,0.056,4
Up! - Red Version,Shania Twain,spotify:track:5oqiovQufNFDhA2PpvsaCF,2003,Country,1/1/2002,1,5,0,1,58,0.0143,0.657,0.755,172973,0,0.707,125.974,0.556,-4.067,0.0374,4
There's More To Me Than You,Jessica Andrews,spotify:track:0NUuzJYfCuIUXbTmNWxjZl,2003,Country,4/15/2003,1,8,0,1,59,0.0049,0.545,0.877,226133,0,0.523,135.057,0.0517,-3.917,0.0435,4
Red Ragtop,Tim McGraw,spotify:track:5xErd5QhOvTKFU7l8dffWC,2003,Country,11/26/2002,1,7,0,1,60,0.191,0.551,0.671,283560,0.00000249,0.561,77.066,0.202,-7.888,0.0286,4
Live Like You Were Dying,Tim McGraw,spotify:track:7B1QliUMZv7gSTUGAfMRRD,2004,Country,8/17/2004,1,7,0,1,1,0.492,0.416,0.546,300333,0,0.418,159.929,0.0845,-7.728,0.0297,4
Remember When,Alan Jackson,spotify:track:1nCSr7oGeUv7sUEoYuAJFF,2004,Country,11/19/2010,1,2,0,1,2,0.709,0.558,0.314,271280,0.000319,0.267,125.59,0.193,-10.623,0.0295,4
When the Sun Goes Down,Kenny Chesney /and/ Uncle Kracker,spotify:track:5vLonpxn4VN0A8GtQOBSG0,2004,Country,1/22/2004,1,9,0,1,4,0.0432,0.798,0.741,290560,0.000003,0.708,104.945,0.252,-6.802,0.0284,4
Letters from Home,John Michael Montgomery,spotify:track:15cGdiAHmezm0P04jVAjMo,2004,Country,4/20/2004,1,0,0,1,5,0.367,0.644,0.626,267533,0.00000578,0.388,128.029,0.155,-7.243,0.0258,4
American Soldier,Toby Keith,spotify:track:0oVWPlnK5eAqnJCVB0FvpP,2004,Country,11/4/2003,1,9,0,1,6,0.193,0.565,0.541,263333,0.00000345,0.226,82.006,0.0582,-8.426,0.0376,4
Mayberry,Rascal Flatts,spotify:track:04rZkq3ihHmGNfKPgBiTX1,2004,Country,1/1/2002,1,11,0,1,7,0.302,0.635,0.852,272987,0,0.351,88.028,0.149,-4.243,0.0375,4
Suds in the Bucket,Sara Evans,spotify:track:6NhpIdjYoufuNNlBsgOztc,2004,Country,8/17/2003,1,10,0,1,8,0.052,0.511,0.903,227267,0.000529,0.898,161.992,0.304,-3.163,0.0397,4
Watch The Wind Blow By,Tim McGraw,spotify:track:6Os7cO6a6UeglnpIKidRjh,2004,Country,11/26/2002,1,10,0,1,9,0.0924,0.517,0.608,276400,0,0.506,62.65,0.0707,-7.206,0.0265,5
Days Go By,Keith Urban,spotify:track:2jwaErbghhcia4JqUYWz3g,2004,Country,1/1/2004,1,2,0,1,10,0.0633,0.589,0.892,224630,0,0.76,131.951,0.149,-3.197,0.0365,4
Redneck Woman,Gretchen Wilson,spotify:track:26bL4gSULWDgdIMX0pRFrG,2004,Country,5/11/2004,1,6,0,1,11,0.13,0.499,0.825,221333,0,0.753,185.069,0.306,-5.146,0.177,4
Sweet Southern Comfort,Buddy Jewell,spotify:track:0tuEEuDijBNJxcLSIrMNsU,2004,Country,7/1/2003,1,2,0,1,12,0.41,0.495,0.612,212907,0,0.366,148.083,0.0974,-6.57,0.0303,4
If You Ever Stop Loving Me,Montgomery Gentry,spotify:track:7zywdG4ysfC5XNBzjQAo2o,2004,Country,5/18/2004,1,7,0,1,13,0.123,0.443,0.885,202760,0.0000309,0.536,185.034,0.28,-6.172,0.0414,4
I Go Back,Kenny Chesney,spotify:track:57I7CUbXo4XlWuTVB8pXW6,2004,Country,1/22/2004,1,5,0,1,14,0.0409,0.532,0.842,243667,0,0.67,90.187,0.217,-5.754,0.0503,4
Little Moments,Brad Paisley,spotify:track:7nJrhBDkUSHASFzopvgygk,2004,Country,11/2/2010,1,9,0,1,15,0.245,0.558,0.551,221067,0.00000419,0.347,78.374,0.231,-6.333,0.0263,4
